0,<<START>>
1,<<END>>
2,<<SPACE>>
3,<<UNKNOWN>>
4,
5,two
6,young
7,guys
8,with
9,shaggy
10,hair
11,look
12,at
13,their
14,hands
15,while
16,hanging
17,out
18,in
19,the
20,yard
21,.
22,","
23,white
24,males
25,are
26,outside
27,near
28,many
29,bushes
30,men
31,green
32,shirts
33,standing
34,a
35,man
36,blue
37,shirt
38,garden
39,friends
40,enjoy
41,time
42,spent
43,together
44,several
45,hard
46,hats
47,operating
48,giant
49,pulley
50,system
51,workers
52,down
53,from
54,up
55,above
56,on
57,piece
58,of
59,equipment
60,working
61,machine
62,wearing
63,four
64,top
65,tall
66,structure
67,three
68,large
69,rig
70,child
71,pink
72,dress
73,is
74,climbing
75,set
76,stairs
77,an
78,entry
79,way
80,little
81,girl
82,going
83,into
84,wooden
85,cabin
86,to
87,her
88,playhouse
89,building
90,someone
91,and
92,hat
93,stair
94,leaning
95,against
96,window
97,ladder
98,cleaning
99,cleans
100,jeans
101,windows
102,one
103,gray
104,black
105,stove
106,guy
107,cooking
108,joking
109,around
110,camera
111,kitchen
112,food
113,preparing
114,meal
115,people
116,photo
117,playing
118,guitar
119,other
120,poking
121,him
122,holds
123,observes
124,his
125,fixing
126,players
127,costume
128,stitching
129,another
130,'s
131,coat
132,boys
133,sits
134,chair
135,holding
136,stuffed
137,animal
138,lion
139,sitting
140,completes
141,finishing
142,touches
143,toy
144,smiling
145,rollerskates
146,talking
147,cellphone
148,parking
149,lot
150,trendy
151,gliding
152,slowly
153,street
154,adult
155,rollerblades
156,cellular
157,phone
158,ear
159,there
160,skating
161,woman
162,asian
163,suit
164,stands
165,dark-haired
166,brown-haired
167,pipes
168,metal
169,railing
170,walks
171,past
172,dressed
173,hip
174,outfits
175,purse
176,walking
177,by
178,gate
179,germany
180,jumping
181,over
182,rail
183,same
184,without
185,youths
186,roadside
187,night
188,dancing
189,poles
190,middle
191,no
192,five
193,ballet
194,dancers
195,caught
196,mid
197,jump
198,studio
199,sunlight
200,coming
201,through
202,practice
203,wonderful
204,form
205,girls
206,leaping
207,simultaneously
208,dance
209,room
210,bending
211,feet
212,class
213,sequence
214,sneakers
215,midair
216,flight
217,concrete
218,casually
219,stairway
220,outdoors
221,stone
222,wall
223,behind
224,them
225,not
226,staircase
227,excited
228,faces
229,dog
230,brown
231,spots
232,staring
233,each
234,tri-colored
235,road
236,dogs
237,different
238,breeds
239,looking
240,pavement
241,moving
242,toward
243,spotted
244,fighting
245,reflective
246,safety
247,clothes
248,protection
249,drives
250,john
251,deere
252,tractor
253,tractors
254,cruises
255,driver
256,wears
257,easy
258,see
259,clothing
260,neon
261,orange
262,uniform
263,driving
264,headphones
265,paved
266,main
267,country
268,some
269,women
270,front
271,bus
272,buildings
273,it
274,stand
275,city
276,group
277,wait
278,dark
279,glasses
280,putting
281,powder
282,cake
283,using
284,sifter
285,lady
286,sprinkling
287,powdered
288,sugar
289,bundt
290,sprinkles
291,onto
292,jacket
293,sifting
294,chocolate
295,pan
296,small
297,grass
298,plays
299,fingerpaints
300,canvas
301,rainbow
302,covered
303,paint
304,painted
305,bowl
306,pigtails
307,painting
308,sleeping
